brand;brand_slug;collection;collection_slug;match_q;length_mm;width_mm;pack_qty;pack_area;price_per_m2;products_count;unit
Арфа;arfa;Арфа;arfa;;1292;194;5;1.253;2510;10;м²
Валторна;valtorna;Валторна;valtorna;;1292;116;5;0.749;2510;5;м²
Варган;vargan;Варган;vargan;;600;100;32;1.92;2400;10;м²
Геликон;gelikon;Геликон;gelikon;;1292;194;6;1.504;1860;1;м²
Домра;domra;Домра;domra;;600;100;26;1.56;2350;10;м²
Кастаньеты;kastanety;Кастаньеты;kastanety;;1380;195;8;2.153;1670;20;м²
Лира;lira;Лира;lira;;1292;194;8;2.005;2040;5;м²
Литавры;litavry;Литавры;litavry;;;;;;3480.9;10;упаковка
Лютень;lyuten;Лютень;lyuten;;1292;194;7;1.755;2320;8;м²
Мелодика;melodika;Мелодика;melodika;;1292;194;8;2.005;1750;7;м²
Свирель;svirel;Свирель;svirel;;1292;193;8;1.995;1300;9;м²
Фанфара;fanfara;Фанфара;fanfara;;1292;194;8;2.005;1430;2;м²
Цитра;tsitra;Цитра;tsitra;;1292;159;6;1.233;2430;2;м²
AGT;agt;AGT Bering;agt-bering;;;;;;3283.5;10;упаковка
AGT;agt;AGT Marco Polo;agt-marco-polo;;;;;;3167;8;упаковка
AGT;agt;AGT Marco Polo Premium;agt-marco-polo-premium;;;;;;3167;8;упаковка
Alpine Floor;alpine-floor;Alpine Floor LF100;alpine-floor-lf100;;;;;;4701.45;22;упаковка
Alpine Floor;alpine-floor;Alpine Floor LF101;alpine-floor-lf101;;;;;;4371.92;22;упаковка
Alpine Floor;alpine-floor;Alpine Floor LF107;alpine-floor-lf107;;;;;;4196.4;1;упаковка
Alpinext;alpinext;Alpinext Quick;alpinext-quick;;;;;;3207.48;8;упаковка
Armonia;armonia;Armonia LARGE;armonia-large;;;;;;3854.5;4;упаковка
Armonia;armonia;Armonia SLIM;armonia-slim;;;;;;3854.5;4;упаковка
Castello;castello;Castello Classic;castello-classic;;;;;;1887.4;8;упаковка
Chevron;chevron;Chevron;chevron;;1200;396;3;1.4256;3360;4;м²
Choice;choice;Choice;choice;;;;;1.864;1960;7;м²
Classen;classen;Classen Ville;classen-ville;;;;;;4032.87;3;упаковка
Clix;clix;Clix Plus;clix-plus;;;;;;2585.52;5;упаковка
Clix Floor;clix-floor;Clix Floor;clix-floor;;;;;;3580.5;31;упаковка
CONCEPT;concept;CONCEPT NEO;concept-neo;;;;;;2547.83;2;упаковка
Deck;deck;Deck Elegant;deck-elegant;;;;;;3019.52;5;упаковка
Deck;deck;Deck Supreme;deck-supreme;;;;;;3231.83;5;упаковка
Dream;dream;Dream Wood;dream-wood;;;;;;3073;9;упаковка
Ebeltoft;ebeltoft;Ebeltoft;ebeltoft;;1200;396;3;1.4256;3360;4;м²
Effect;effect;Effect ELEGANCE;effect-elegance;;;;;;3134.43;6;упаковка
Effect;effect;Effect PRK903;effect-prk903;;;;;;3134.43;2;упаковка
Effect;effect;Effect PRK904;effect-prk904;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK906;effect-prk906;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK908;effect-prk908;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK909;effect-prk909;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK910;effect-prk910;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK911;effect-prk911;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK912;effect-prk912;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK913;effect-prk913;;;;;;3134.43;1;упаковка
Effect;effect;Effect PRK914;effect-prk914;;;;;;3134.43;1;упаковка
Elegant;elegant;Elegant Norland;elegant-norland;;1220;198;8;1.932;1930;23;м²
Elegant;elegant;Elegant Strong;elegant-strong;;1220;198;7;1.691;2630;22;м²
Elements;elements;Elements;elements;;1200;396;3;1.4256;3360;3;м²
Fiorentino;fiorentino;Fiorentino;fiorentino;;;;;;2442;6;упаковка
Floordreams;floordreams;Floordreams Vario;floordreams-vario;;;;;;2501.2;1;упаковка
FloorFort;floorfort;Oak Heritage;floorfort-dub;;1220;130;16;2.537;4015.96;14;м²
FloorFort;floorfort;Walnut Tree;floorfort-oreh;;1220;130;16;2.537;2118.17;10;м²
Form;form;Form;form;;;;;2.153;1720;8;м²
Harmony;harmony;Harmony Forte;harmony-forte;;;;;;5395;6;упаковка
Hercules;hercules;Hercules;hercules;;;;;;2110.25;3;упаковка
Hercules;hercules;Hercules HWR;hercules-hwr;;;;;;1908.4;2;упаковка
Herringbone;herringbone;Herringbone Elegant;herringbone-elegant;;600;100;32;1.92;2490;47;м²
Kalmar;kalmar;Kalmar L1367-06988;kalmar-l1367-06988;;1380;190;7;1.8354;1830;1;м²
Kalmar;kalmar;Kalmar L1367-06989;kalmar-l1367-06989;;1380;190;7;1.8354;1830;1;м²
Kalmar;kalmar;Kalmar L1367-06990;kalmar-l1367-06990;;1380;190;7;1.8354;1830;1;м²
